,dec,bin,gray,contiguity,score
130,130,10000010,11000011,True,0.42658249237484425
131,131,10000011,11000010,True,0.6824171349860084
132,132,10000100,11000110,True,0.4868802195895967
133,133,10000101,11000111,True,0.2310455769784326
138,138,10001010,11001111,True,0.1478729976933216
139,139,10001011,11001110,True,0.40370764030448575
148,148,10010100,11011110,True,0.32819191526886715
149,149,10010101,11011111,True,0.07235727265770299
160,160,10100000,11110000,True,0.7327609516764209
161,161,10100001,11110001,True,0.4769263090652567
162,162,10100010,11110011,True,0.2787094946815226
163,163,10100011,11110010,True,0.5345441372926868
164,164,10100100,11110110,True,0.33900722189627513
165,165,10100101,11110111,True,0.08317257928511099
166,166,10100110,11110101,True,0.28138939366884497
167,167,10100111,11110100,True,0.5372240362800091
168,168,10101000,11111100,True,0.45405145699489813
169,169,10101001,11111101,True,0.198216814383734
170,170,10101010,11111111,True,0.0
171,171,10101011,11111110,True,0.2558346426111642
172,172,10101100,11111010,True,0.45137155800757583
173,173,10101101,11111011,True,0.19553691539641166
174,174,10101110,11111001,True,0.39375372978014567
175,175,10101111,11111000,True,0.6495883723913098
180,180,10110100,11101110,True,0.3313503676467827
181,181,10110101,11101111,True,0.0755157250356186
182,182,10110110,11101101,True,0.2737325394193526
183,183,10110111,11101100,True,0.5295671820305168
184,184,10111000,11100100,True,0.6127397613156278
185,185,10111001,11100101,True,0.35690511870446356
186,186,10111010,11100111,True,0.15868830432072958
187,187,10111011,11100110,True,0.41452294693189373
188,188,10111100,11100010,True,0.6100598623283053
189,189,10111101,11100011,True,0.35422521971714127
190,190,10111110,11100001,True,0.5524420341008752
191,191,10111111,11100000,True,0.8082766767120394
197,197,11000101,10100111,True,0.2102763598266845
202,202,11001010,10101111,True,0.1271037805415735
213,213,11010101,10111111,True,0.05158805550595491
218,218,11011010,10110111,True,0.1347606347910659
234,234,11101010,10011111,True,0.1239453281636579
245,245,11110101,10001111,True,0.1994610531992765
250,250,11111010,10000111,True,0.2826336324843875
253,253,11111101,10000011,True,0.47817054788079916
254,254,11111110,10000001,True,0.6763873622645331
255,255,11111111,10000000,True,0.9322220048756972
257,257,100000001,110000001,True,0.5003754252043271
258,258,100000010,110000011,True,0.30215861082059303
261,261,100000101,110000111,True,0.10662169542418139
266,266,100001010,110001111,True,0.023449116139070414
277,277,100010101,110011111,True,0.05206660889654818
293,293,100100101,110110111,True,0.0412513022691402
298,298,100101010,110111111,True,0.12442388155425119
309,309,100110101,110101111,True,0.04890815651863258
314,314,100111010,110100111,True,0.0342644227664784
321,321,101000001,111100001,True,0.3764300970406691
322,322,101000010,111100011,True,0.17821328265693515
325,325,101000101,111100111,True,0.01732363273947651
326,326,101000110,111100101,True,0.18089318164425747
329,329,101001001,111101101,True,0.09772060235914651
330,330,101001010,111101111,True,0.10049621202458749
337,337,101010001,111111001,True,0.21774179271993957
338,338,101010010,111111011,True,0.01952497833620557
341,341,101010101,111111111,True,0.17601193706020607
342,342,101010110,111111101,True,0.0222048773235279
345,345,101011001,111110101,True,0.1053774566086389
346,346,101011010,111110111,True,0.09283935777509511
349,349,101011101,111110011,True,0.10269755762131655
350,350,101011110,111110001,True,0.30091437200505056
362,362,101101010,111011111,True,0.10365466440250311
373,373,101110101,111001111,True,0.028138939366884497
378,378,101111010,111000111,True,0.05503363991822648
381,381,101111101,111000011,True,0.2505705553146381
382,382,101111110,111000001,True,0.4487873696983722
386,386,110000010,101000011,True,0.2754553316254884
389,389,110000101,101000111,True,0.07991841622907672
394,394,110001010,101001111,True,0.0032541630560342615
405,405,110010101,101011111,True,0.07876988809165286
418,418,110100010,101110011,True,0.12758233393216678
421,421,110100101,101110111,True,0.06795458146424488
426,426,110101010,101111111,True,0.15112716074935587
429,429,110101101,101111011,True,0.0444097546470558
437,437,110110101,101101111,True,0.07561143571373725
442,442,110111010,101100111,True,0.007561143571373726
445,445,110111101,101100011,True,0.20309805896778538
453,453,111000101,100100111,True,0.059149199077328636
458,458,111001010,100101111,True,0.024023380207782344
469,469,111010101,100111111,True,0.09953910524340095
474,474,111011010,100110111,True,0.01636652595828996
490,490,111101010,100011111,True,0.02718183258569795
501,501,111110101,100001111,True,0.04833389244992065
506,506,111111010,100000111,True,0.13150647173503163
509,509,111111101,100000011,True,0.3270433871314433
510,510,111111110,100000001,True,0.5252602015151773
511,511,111111111,100000000,True,0.7810948441263414
512,512,1000000000,1100000000,True,0.6153239496248314
513,513,1000000001,1100000001,True,0.3594893070136672
514,514,1000000010,1100000011,True,0.16127249262993326
515,515,1000000011,1100000010,True,0.41710713524109744
516,516,1000000100,1100000110,True,0.22157021984468575
517,517,1000000101,1100000111,True,0.0342644227664784
522,522,1000001010,1100001111,True,0.11743700205158937
523,523,1000001011,1100001110,True,0.13839764055957476
532,532,1000010100,1100011110,True,0.06288191552395617
533,533,1000010101,1100011111,True,0.19295272708720798
548,548,1000100100,1100110110,True,0.07369722215136415
549,549,1000100101,1100110111,True,0.1821374204598
554,554,1000101010,1100111111,True,0.265309999744911
555,555,1000101011,1100111110,True,0.009475357133746821
564,564,1000110100,1100101110,True,0.06604036790187179
565,565,1000110101,1100101111,True,0.1897942747092924
570,570,1000111010,1100100111,True,0.10662169542418139
571,571,1000111011,1100100110,True,0.14921294718698275
578,578,1001000010,1101100011,True,0.037327164466275355
579,579,1001000011,1101100010,True,0.29316180707743955
580,580,1001000100,1101100110,True,0.09762489168102785
581,581,1001000101,1101100111,True,0.1582097509301363
586,586,1001001010,1101101111,True,0.2413823302152473
587,587,1001001011,1101101110,True,0.014452312395916867
594,594,1001010010,1101111011,True,0.12136113985445421
595,595,1001010011,1101111010,True,0.13447350275670994
596,596,1001010100,1101111110,True,0.061063412639701733
597,597,1001010101,1101111111,True,0.3168980552508659
602,602,1001011010,1101110111,True,0.23372547596575494
603,603,1001011011,1101110110,True,0.022109166645409246
604,604,1001011100,1101110010,True,0.2176460820418209
605,605,1001011101,1101110011,True,0.03818856056934325
618,618,1001101010,1101011111,True,0.24454078259316286
619,619,1001101011,1101011110,True,0.011293860018001261
628,628,1001110100,1101001110,True,0.08680958505361985
629,629,1001110101,1101001111,True,0.1690250575575443
634,634,1001111010,1101000111,True,0.08585247827243331
635,635,1001111011,1101000110,True,0.16998216433873084
636,636,1001111100,1101000010,True,0.3655190797351425
637,637,1001111101,1101000011,True,0.10968443712397834
641,641,1010000001,1111000001,True,0.2830164751968621
642,642,1010000010,1111000011,True,0.0847996608131281
645,645,1010000101,1111000111,True,0.11073725458328354
650,650,1010001010,1111001111,True,0.19390983386839453
661,661,1010010101,1111011111,True,0.2694255589040131
673,673,1010100001,1111110001,True,0.1351434775035405
674,674,1010100010,1111110011,True,0.06307333688019348
677,677,1010100101,1111110111,True,0.25861025227660517
682,682,1010101010,1111111111,True,0.34178283156171607
685,685,1010101101,1111111011,True,0.14624591616530447
686,686,1010101110,1111111001,True,0.051970898218429526
693,693,1010110101,1111101111,True,0.26626710652609753
698,698,1010111010,1111100111,True,0.18309452724098654
701,701,1010111101,1111100011,True,0.01244238815542512
702,702,1010111110,1111100001,True,0.2106592025391591
709,709,1011000101,1110100111,True,0.13150647173503163
714,714,1011001010,1110101111,True,0.21467905102014262
725,725,1011010101,1110111111,True,0.2901947760557612
730,730,1011011010,1110110111,True,0.2070221967706502
746,746,1011101010,1110011111,True,0.21783750339805819
757,757,1011110101,1110001111,True,0.14232177836243962
762,762,1011111010,1110000111,True,0.059149199077328636
765,765,1011111101,1110000011,True,0.136387716319083
766,766,1011111110,1110000001,True,0.33460453070281704
770,770,1100000010,1010000011,True,0.3123996533792891
773,773,1100000101,1010000111,True,0.11686273798287747
778,778,1100001010,1010001111,True,0.033690158697766474
789,789,1100010101,1010011111,True,0.04182556633785213
805,805,1100100101,1010110111,True,0.03101025971044414
810,810,1100101010,1010111111,True,0.11418283899555512
821,821,1100110101,1010101111,True,0.038667113959936515
826,826,1100111010,1010100111,True,0.044505465325174465
834,834,1101000010,1011100011,True,0.18845432521563119
835,835,1101000011,1011100010,True,0.44428896782679533
836,836,1101000100,1011100110,True,0.2487520524303837
837,837,1101000101,1011100111,True,0.007082590180780452
842,842,1101001010,1011101111,True,0.09025516946589143
843,843,1101001011,1011101110,True,0.16557947314527272
850,850,1101010010,1011111011,True,0.02976602089490163
851,851,1101010011,1011111010,True,0.28560066350606583
852,852,1101010100,1011111110,True,0.09006374810965413
853,853,1101010101,1011111111,True,0.16577089450151003
858,858,1101011010,1011110111,True,0.08259831521639906
859,859,1101011011,1011110110,True,0.1732363273947651
860,860,1101011100,1011110010,True,0.36877324279117674
861,861,1101011101,1011110011,True,0.11293860018001262
874,874,1101101010,1011011111,True,0.09341362184380703
875,875,1101101011,1011011110,True,0.16242102076735712
884,884,1101110100,1011001110,True,0.23793674580297575
885,885,1101110101,1011001111,True,0.017897896808188436
890,890,1101111010,1011000111,True,0.06527468247692254
891,891,1101111011,1011000110,True,0.3211093250880867
892,892,1101111100,1011000010,True,0.5166462404844984
893,893,1101111101,1011000011,True,0.2608115978733342
898,898,1110000010,1001000011,True,0.2856963741841844
899,899,1110000011,1001000010,True,0.5415310167953485
900,900,1110000100,1001000110,True,0.34599410139893694
901,901,1110000101,1001000111,True,0.09015945878777278
906,906,1110001010,1001001111,True,0.006986879502661797
907,907,1110001011,1001001110,True,0.262821522113826
916,916,1110010100,1001011110,True,0.18730579707820733
917,917,1110010101,1001011111,True,0.0685288455329568
930,930,1110100010,1001110011,True,0.13782337649086285
931,931,1110100011,1001110010,True,0.39365801910202697
932,932,1110100100,1001110110,True,0.19812110370561534
933,933,1110100101,1001110111,True,0.05771353890554881
938,938,1110101010,1001111111,True,0.1408861181906598
939,939,1110101011,1001111110,True,0.11494852442050436
940,940,1110101100,1001111010,True,0.310485439816916
941,941,1110101101,1001111011,True,0.05465079720575186
948,948,1110110100,1001101110,True,0.19046424945612295
949,949,1110110101,1001101111,True,0.0653703931550412
954,954,1110111010,1001100111,True,0.017802186130069786
955,955,1110111011,1001100110,True,0.27363682874123396
956,956,1110111100,1001100010,True,0.46917374413764557
957,957,1110111101,1001100011,True,0.21333910152648144
964,964,1111000100,1000100110,True,0.3252248842471889
965,965,1111000101,1000100111,True,0.0693902416360247
970,970,1111001010,1000101111,True,0.013782337649086283
971,971,1111001011,1000101110,True,0.24205230496207789
980,980,1111010100,1000111110,True,0.16653657992645926
981,981,1111010101,1000111111,True,0.08929806268470489
986,986,1111011010,1000110111,True,0.006125483399593904
987,987,1111011011,1000110110,True,0.24970915921157025
1002,1002,1111101010,1000011111,True,0.01694079002700189
1003,1003,1111101011,1000011110,True,0.23889385258416224
1012,1012,1111110100,1000001110,True,0.31440957761978083
1013,1013,1111110101,1000001111,True,0.05857493500861671
1018,1018,1111111010,1000000111,True,0.14174751429372767
1019,1019,1111111011,1000000110,True,0.39758215690489185
1020,1020,1111111100,1000000010,True,0.5931190723013035
1021,1021,1111111101,1000000011,True,0.3372844296901394
1023,1023,1111111111,1000000000,True,0.7913358866850375
1024,1024,10000000000,11000000000,True,0.6314033435487654
1026,1026,10000000010,11000000011,True,0.17735188655386724
1027,1027,10000000011,11000000010,True,0.4331865291650314
1028,1028,10000000100,11000000110,True,0.23764961376861973
1029,1029,10000000101,11000000111,True,0.018185028842544405
1031,1031,10000000111,11000000100,True,0.4358664281523537
1032,1032,10000001000,11000001100,True,0.35269384886724275
1034,1034,10000001010,11000001111,True,0.10135760812765539
1035,1035,10000001011,11000001110,True,0.15447703448350877
1044,1044,10000010100,11000011110,True,0.07896130944789018
1045,1045,10000010101,11000011111,True,0.17687333316327397
1047,1047,10000010111,11000011100,True,0.27717812383162416
1060,1060,10000100100,11000110110,True,0.08977661607529816
1061,1061,10000100101,11000110111,True,0.166058026535866
1063,1063,10000100111,11000110100,True,0.28799343045903214
1064,1064,10000101000,11000111100,True,0.20482085117392115
1066,1066,10000101010,11000111111,True,0.249230605820977
1067,1067,10000101011,11000111110,True,0.0066040367901871785
1076,1076,10000110100,11000101110,True,0.08211976182580578
1077,1077,10000110101,11000101111,True,0.17371488078535838
1079,1079,10000110111,11000101100,True,0.2803365762095398
1080,1080,10000111000,11000100100,True,0.3635091554946508
1082,1082,10000111010,11000100111,True,0.09054230150024739
1083,1083,10000111011,11000100110,True,0.16529234111091676
1090,1090,10001000010,11001100011,True,0.05340655839020936
1091,1091,10001000011,11001100010,True,0.30924120100137353
1092,1092,10001000100,11001100110,True,0.11370428560496185
1093,1093,10001000101,11001100111,True,0.1421303570062023
1095,1095,10001000111,11001100100,True,0.3119210999886958
1096,1096,10001001000,11001101100,True,0.22874852070358487
1098,1098,10001001010,11001101111,True,0.22530293629131332
1099,1099,10001001011,11001101110,True,0.030531706319850867
1108,1108,10001010100,11001111110,True,0.04498401871576774
1109,1109,10001010101,11001111111,True,0.3008186613269319
1111,1111,10001010111,11001111100,True,0.15323279566796624
1112,1112,10001011000,11001110100,True,0.23640537495307723
1114,1114,10001011010,11001110111,True,0.2176460820418209
1115,1115,10001011011,11001110110,True,0.03818856056934325
1116,1116,10001011100,11001110010,True,0.23372547596575494
1117,1117,10001011101,11001110011,True,0.022109166645409246
1130,1130,10001101010,11001011111,True,0.2284613886692289
1131,1131,10001101011,11001011110,True,0.02737325394193526
1140,1140,10001110100,11001001110,True,0.10288897897755385
1141,1141,10001110101,11001001111,True,0.15294566363361028
1146,1146,10001111010,11001000111,True,0.06977308434849931
1147,1147,10001111011,11001000110,True,0.18606155826266485
1148,1148,10001111100,11001000010,True,0.3815984736590765
1149,1149,10001111101,11001000011,True,0.12576383104791233
1154,1154,10010000010,11011000011,True,0.1008790547370621
1155,1155,10010000011,11011000010,True,0.3567136973482263
1156,1156,10010000100,11011000110,True,0.16117678195181462
1157,1157,10010000101,11011000111,True,0.09465786065934954
1162,1162,10010001010,11011001111,True,0.17783043994446052
1163,1163,10010001011,11011001110,True,0.07800420266670362
1172,1172,10010010100,11011011110,True,0.0024884776310850234
1173,1173,10010010101,11011011111,True,0.2533461649800791
1186,1186,10010100010,11011110011,True,0.046993942956259485
1187,1187,10010100011,11011110010,True,0.20884069965490465
1188,1188,10010100100,11011110110,True,0.01330378425849301
1189,1189,10010100101,11011110111,True,0.24253085835267113
1191,1191,10010100111,11011110100,True,0.211520598642227
1192,1192,10010101000,11011111100,True,0.12834801935711604
1194,1194,10010101010,11011111111,True,0.32570343763778214
1195,1195,10010101011,11011111110,True,0.06986879502661797
1204,1204,10010110100,11011101110,True,0.005646930009000631
1205,1205,10010110101,11011101111,True,0.25018771260216355
1207,1207,10010110111,11011101100,True,0.20386374439273464
1208,1208,10010111000,11011100100,True,0.2870363236778456
1210,1210,10010111010,11011100111,True,0.16701513331705253
1211,1211,10010111011,11011100110,True,0.0888195092941116
1212,1212,10010111100,11011100010,True,0.28435642469052325
1213,1213,10010111101,11011100011,True,0.02852178207935912
1221,1221,10011000101,11010100111,True,0.11542707781109762
1226,1226,10011001010,11010101111,True,0.1985996570962086
1237,1237,10011010101,11010111111,True,0.2741153821318272
1242,1242,10011011010,11010110111,True,0.19094280284671622
1258,1258,10011101010,11010011111,True,0.2017581094741242
1269,1269,10011110101,11010001111,True,0.1262423844385056
1274,1274,10011111010,11010000111,True,0.04306980515339463
1277,1277,10011111101,11010000011,True,0.152467110243017
1281,1281,10100000001,11110000001,True,0.17467198756654492
1282,1282,10100000010,11110000011,True,0.02354482681718907
1285,1285,10100000101,11110000111,True,0.21908174221360072
1286,1286,10100000110,11110000101,True,0.020864927829866736
1289,1289,10100001001,11110001101,True,0.10403750711497771
1290,1290,10100001010,11110001111,True,0.30225432149871173
1301,1301,10100010101,11110011111,True,0.37777004653433033
1302,1302,10100010110,11110011101,True,0.17955323215059632
1317,1317,10100100101,11110110111,True,0.3669547399069223
1318,1318,10100100110,11110110101,True,0.16873792552318834
1321,1321,10100101001,11110111101,True,0.2519105048082993
1322,1322,10100101010,11110111111,True,0.4501273191920333
1333,1333,10100110101,11110101111,True,0.37461159415641465
1334,1334,10100110110,11110101101,True,0.1763947797726807
1337,1337,10100111001,11110100101,True,0.09322220048756973
1338,1338,10100111010,11110100111,True,0.29143901487130375
1345,1345,10101000001,11111100001,True,0.050726659402887016
1346,1346,10101000010,11111100011,True,0.14749015498084697
1349,1349,10101000101,11111100111,True,0.34302707037725866
1354,1354,10101001010,11111101111,True,0.42619964966236956
1365,1365,10101010101,11111111111,True,0.5017153746979882
1370,1370,10101011010,11111110111,True,0.41854279541287726
1373,1373,10101011101,11111110011,True,0.22300588001646557
1374,1374,10101011110,11111110001,True,0.02478906563273158
1386,1386,10101101010,11111011111,True,0.42935810204028524
1397,1397,10101110101,11111001111,True,0.3538423770046666
1402,1402,10101111010,11111000111,True,0.2706697977195556
1405,1405,10101111101,11111000011,True,0.07513288232314398
1406,1406,10101111110,11111000001,True,0.12308393206059
1410,1410,10110000010,11101000011,True,0.05024810601229374
1411,1411,10110000011,11101000010,True,0.2055865365988704
1412,1412,10110000100,11101000110,True,0.01004962120245875
1413,1413,10110000101,11101000111,True,0.2457850214087054
1418,1418,10110001010,11101001111,True,0.3289576006938164
1419,1419,10110001011,11101001110,True,0.07312295808265223
1428,1428,10110010100,11101011110,True,0.14863868311827083
1429,1429,10110010101,11101011111,True,0.40447332572943495
1442,1442,10110100010,11101110011,True,0.19812110370561534
1443,1443,10110100011,11101110010,True,0.05771353890554881
1444,1444,10110100100,11101110110,True,0.13782337649086285
1445,1445,10110100101,11101110111,True,0.39365801910202697
1447,1447,10110100111,11101110100,True,0.060393437892871146
1448,1448,10110101000,11101111100,True,0.02277914139223983
1450,1450,10110101010,11101111111,True,0.476830598387138
1451,1451,10110101011,11101111110,True,0.22099595577597383
1460,1460,10110110100,11101101110,True,0.14548023074035524
1461,1461,10110110101,11101101111,True,0.4013148733515194
1463,1463,10110110111,11101101100,True,0.05273658364337877
1464,1464,10110111000,11101100100,True,0.13590916292848976
1466,1466,10110111010,11101100111,True,0.31814229406640837
1467,1467,10110111011,11101100110,True,0.06230765145524425
1468,1468,10110111100,11101100010,True,0.1332292639411674
1469,1469,10110111101,11101100011,True,0.12260537866999674
1476,1476,10111000100,11100100110,True,0.010719595949289333
1477,1477,10111000101,11100100111,True,0.2665542385604535
1478,1478,10111000110,11100100101,True,0.0683374241767195
1479,1479,10111000111,11100100100,True,0.18749721843444464
1480,1480,10111001000,11100101100,True,0.10432463914933367
1481,1481,10111001001,11100101101,True,0.15151000346183047
1482,1482,10111001010,11100101111,True,0.3497268178455645
1483,1483,10111001011,11100101110,True,0.09389217523440033
1492,1492,10111010100,11100111110,True,0.1694079002700189
1493,1493,10111010101,11100111111,True,0.425242542881183
1494,1494,10111010110,11100111101,True,0.22702572849744906
1495,1495,10111010111,11100111100,True,0.028808914113715084
1496,1496,10111011000,11100110100,True,0.11198149339882606
1497,1497,10111011001,11100110101,True,0.1438531492123381
1498,1498,10111011010,11100110111,True,0.3420699635960721
1499,1499,10111011011,11100110110,True,0.08623532098490794
1512,1512,10111101000,11100011100,True,0.10116618677141807
1513,1513,10111101001,11100011101,True,0.15466845583974606
1514,1514,10111101010,11100011111,True,0.3528852702234801
1515,1515,10111101011,11100011110,True,0.09705062761231592
1524,1524,10111110100,11100001110,True,0.021534902576697317
1525,1525,10111110101,11100001111,True,0.27736954518786144
1526,1526,10111110110,11100001101,True,0.07915273080412748
1527,1527,10111110111,11100001100,True,0.17668191180703668
1528,1528,10111111000,11100000100,True,0.25985449109214764
1529,1529,10111111001,11100000101,True,0.004019848480983499
1530,1530,10111111010,11100000111,True,0.19419696590275048
1531,1531,10111111011,11100000110,True,0.06163767670841366
1532,1532,10111111100,11100000010,True,0.2571745921048253
1533,1533,10111111101,11100000011,True,0.0013399494936611666
1534,1534,10111111110,11100000001,True,0.19955676387739515
1535,1535,10111111111,11100000000,True,0.4553914064885593
1541,1541,11000000101,10100000111,True,0.02842607140124046
1546,1546,11000001010,10100001111,True,0.11159865068635143
1557,1557,11000010101,10100011111,True,0.18711437572197004
1573,1573,11000100101,10100110111,True,0.17629906909456206
1578,1578,11000101010,10100111111,True,0.259471648379673
1589,1589,11000110101,10100101111,True,0.18395592334405445
1594,1594,11000111010,10100100111,True,0.10078334405894346
1605,1605,11001000101,10101100111,True,0.15237139956489837
1610,1610,11001001010,10101101111,True,0.23554397885000938
1621,1621,11001010101,10101111111,True,0.311059703885628
1626,1626,11001011010,10101110111,True,0.22788712460051697
1642,1642,11001101010,10101011111,True,0.23870243122792495
1653,1653,11001110101,10101001111,True,0.16318670619230635
1658,1658,11001111010,10101000111,True,0.08001412690719537
1669,1669,11010000101,10111000111,True,0.1048989032180456
1674,1674,11010001010,10111001111,True,0.18807148250315658
1685,1685,11010010101,10111011111,True,0.2635872075387752
1701,1701,11010100101,10111110111,True,0.2527719009113672
1702,1702,11010100110,10111110101,True,0.05455508652763321
1705,1705,11010101001,10111111101,True,0.1377276658127442
1706,1706,11010101010,10111111111,True,0.33594448019647816
1717,1717,11010110101,10111101111,True,0.2604287551608596
1718,1718,11010110110,10111101101,True,0.06221194077712559
1721,1721,11010111001,10111100101,True,0.02096063850798539
1722,1722,11010111010,10111100111,True,0.1772561758757486
1733,1733,11011000101,10110100111,True,0.1256681203697937
1738,1738,11011001010,10110101111,True,0.20884069965490465
1749,1749,11011010101,10110111111,True,0.28435642469052325
1754,1754,11011011010,10110110111,True,0.2011838454054123
1770,1770,11011101010,10110011111,True,0.21199915203282027
1781,1781,11011110101,10110001111,True,0.13648342699720167
1786,1786,11011111010,10110000111,True,0.05331084771209069
1797,1797,11100000101,10010000111,True,0.12270108934811541
1802,1802,11100001010,10010001111,True,0.03952851006300442
1813,1813,11100010101,10010011111,True,0.03598721497261419
1829,1829,11100100101,10010110111,True,0.0251719083452062
1834,1834,11100101010,10010111111,True,0.10834448763031719
1845,1845,11100110101,10010101111,True,0.03282876259469858
1850,1850,11100111010,10010100111,True,0.0503438166904124
1860,1860,11101000100,10011100110,True,0.25459040379562164
1861,1861,11101000101,10011100111,True,0.0012442388155425117
1862,1862,11101000110,10011100101,True,0.19697257556819148
1863,1863,11101000111,10011100100,True,0.45280721817935565
1864,1864,11101001000,10011101100,True,0.36963463889424464
1865,1865,11101001001,10011101101,True,0.1137999962830805
1866,1866,11101001010,10011101111,True,0.08441681810065349
1867,1867,11101001011,10011101110,True,0.17141782451051069
1876,1876,11101010100,10011111110,True,0.09590209947489207
1877,1877,11101010101,10011111111,True,0.15993254313627212
1878,1878,11101010110,10011111101,True,0.0382842712474619
1879,1879,11101010111,10011111100,True,0.29411891385862604
1880,1880,11101011000,10011110100,True,0.377291493143737
1881,1881,11101011001,10011110101,True,0.12145685053257288
1882,1882,11101011010,10011110111,True,0.07675996385116111
1883,1883,11101011011,10011110110,True,0.17907467876000305
1898,1898,11101101010,10011011111,True,0.08757527047856908
1899,1899,11101101011,10011011110,True,0.16825937213259506
1908,1908,11101110100,10011001110,True,0.24377509716821366
1909,1909,11101110101,10011001111,True,0.012059545442950499
1914,1914,11101111010,10011000111,True,0.07111303384216049
1915,1915,11101111011,10011000110,True,0.3269476764533246
1924,1924,11110000100,10001000110,True,0.35183245276417485
1925,1925,11110000101,10001000111,True,0.09599781015301072
1930,1930,11110001010,10001001111,True,0.012825230867899736
1931,1931,11110001011,10001001110,True,0.2686598734790639
1940,1940,11110010100,10001011110,True,0.19314414844344527
1941,1941,11110010101,10001011111,True,0.06269049416771885
1956,1956,11110100100,10001110110,True,0.20395945507085328
1957,1957,11110100101,10001110111,True,0.051875187540310876
1959,1959,11110100111,10001110100,True,0.4021762694545873
1960,1960,11110101000,10001111100,True,0.3190036901694763
1962,1962,11110101010,10001111111,True,0.13504776682542186
1963,1963,11110101011,10001111110,True,0.12078687578574229
1972,1972,11110110100,10001101110,True,0.19630260082136092
1973,1973,11110110101,10001101111,True,0.05953204178980326
1975,1975,11110110111,10001101100,True,0.3945194152050949
1976,1976,11110111000,10001100100,True,0.47769199449020594
1978,1978,11110111010,10001100111,True,0.02364053749530772
1979,1979,11110111011,10001100110,True,0.2794751801064719
1988,1988,11111000100,10000100110,True,0.3310632356124268
1989,1989,11111000101,10000100111,True,0.07522859300126264
1991,1991,11111000111,10000100100,True,0.5292800499961607
1992,1992,11111001000,10000101100,True,0.4461074707110498
1994,1994,11111001010,10000101111,True,0.007943986283848344
1995,1995,11111001011,10000101110,True,0.2478906563273158
2004,2004,11111010100,10000111110,True,0.1723749312916972
2005,2005,11111010101,10000111111,True,0.08345971131946694
2007,2007,11111010111,10000111100,True,0.3705917456754312
2008,2008,11111011000,10000110100,True,0.45376432496054214
2010,2010,11111011010,10000110111,True,0.00028713203435596426
2011,2011,11111011011,10000110110,True,0.2555475105768082
2024,2024,11111101000,10000011100,True,0.44294901833313416
2026,2026,11111101010,10000011111,True,0.01110243866176395
2027,2027,11111101011,10000011110,True,0.2447322039494002
2036,2036,11111110100,10000001110,True,0.32024792898501875
2037,2037,11111110101,10000001111,True,0.06441328637385466
2039,2039,11111110111,10000001100,True,0.5184647433687528
2040,2040,11111111000,10000000100,True,0.6016373226538638
